00:00:00  1645MB         |  mtoa_shaders.dll: MtoaUserDataBool uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaHair uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MtoaMeshLightMaterial uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MtoaUserDataVec2 uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaBump2D uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaFluid uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaMarble uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaMountain uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaWater uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaCrater uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaLeather uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaGranite uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaRock uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaSingleShadingSwitch uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaDoubleShadingSwitch uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaTripleShadingSwitch uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaQuadShadingSwitch uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaFluidData uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaFluidTexture2D uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaSurfaceLuminance uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MtoaCameraUvMapper uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaFlatClosure uses Arnold 5.0.1.3
00:00:00  1648MB         |  [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders/mtoa_shaders.mtd
00:00:00  1647MB         | loaded 86 plugins from 1 lib(s) in 0:00.23
00:00:00  1647MB         | loading plugin: C:/Program Files/Autodesk/Bifrost/1.5.0/Arnold-5.0.0.0/bin/bifrost_procedural_0_1.dll ...
00:00:00  1648MB         |  bifrost_procedural_0_1.dll: bifrost_polymesh uses Arnold 5.0.0.0
00:00:00  1646MB         |  bifrost_procedural_0_1.dll: bifrost_points uses Arnold 5.0.0.0
00:00:00  1646MB         |  bifrost_procedural_0_1.dll: bifrost_volume uses Arnold 5.0.0.0
00:00:00  1647MB         |  bifrost_procedural_0_1.dll: bifrost_implicit uses Arnold 5.0.0.0
00:00:00  1646MB         |  bifrost_procedural_0_1.dll: bifrost_blocks uses Arnold 5.0.0.0
