00:00:00  3766MB WARNING | AiEnd() called when session is not started, ignoring
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFluidData uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaFluidTexture2D uses Arnold 5.0.1.3
00:00:00  3766MB         |  mtoa_shaders.dll: MayaSurfaceLuminance uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MtoaCameraUvMapper uses Arnold 5.0.1.3
00:00:00  3767MB         |  mtoa_shaders.dll: MayaFlatClosure uses Arnold 5.0.1.3
00:00:00  3767MB         |  [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders/mtoa_shaders.mtd
00:00:00  3766MB         | loaded 86 plugins from 1 lib(s) in 0:00.12
00:00:00  3766MB         | loading plugin: C:/Program Files/Autodesk/Bifrost/1.5.0/Arnold-5.0.0.0/bin/bifrost_procedural_0_1.dll ...
00:00:00  3767MB         |  bifrost_procedural_0_1.dll: bifrost_polymesh uses Arnold 5.0.0.3
00:00:00  3766MB         |  bifrost_procedural_0_1.dll: bifrost_points uses Arnold 5.0.0.3
00:00:00  3767MB         |  bifrost_procedural_0_1.dll: bifrost_volume uses Arnold 5.0.0.3
00:00:00  3767MB         |  bifrost_procedural_0_1.dll: bifrost_implicit uses Arnold 5.0.0.3
00:00:00  3767MB         |  bifrost_procedural_0_1.dll: bifrost_blocks uses Arnold 5.0.0.3
00:00:00  3767MB         | loaded 5 plugins from 1 lib(s) in 0:00.00
00:00:00  3767MB         | [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/plug-ins/mtoa.mtd
00:00:00  3766MB         | [mtoa] Exporting scene
00:00:00  3767MB         | [mtoa.session]     Initializing at frame 1015.000000
00:00:00  3767MB         | [mtoa] Exporting Arnold options 'defaultArnoldRenderOptions'
00:00:00  3767MB         | [mtoa.ext]  aiOptions Using translator <built-in>, provided by <built-in>(<built-in>).
00:00:00  3767MB         |  [mtoa.session]     defaultArnoldRenderOptions     | Exporting plug defaultArnoldRenderOptions.message for type aiOptions
00:00:00  3766MB         |  [mtoa.translator]  defaultArnoldRenderOptions     | <built-in>: Exported 0 override sets.
00:00:00  3767MB         |  [mtoa.translator]  defaultArnoldRenderOptions     | Exporting on plug message (<built-in>)
00:00:00  3767MB         |   [mtoa.session]     defaultArnoldFilter            | Exporting plug defaultArnoldFilter.message for type aiAOVFilter
